SRX,index,!Sample_geo_accession,!Sample_status,!Sample_submission_date,!Sample_last_update_date,!Sample_type,!Sample_channel_count,!Sample_source_name_ch1,!Sample_organism_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_growth_protocol_ch1,!Sample_molecule_ch1,!Sample_extract_protocol_ch1,!Sample_extract_protocol_ch1,!Sample_taxid_ch1,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_platform_id,!Sample_contact_name,!Sample_contact_email,!Sample_contact_institute,!Sample_contact_address,!Sample_contact_city,!Sample_contact_zip/postal_code,!Sample_contact_country,!Sample_data_row_count,!Sample_instrument_model,!Sample_library_selection,!Sample_library_source,!Sample_library_strategy,!Sample_relation,!Sample_relation,!Sample_supplementary_file_1,!series_matrix_table_begin,ID_REF,!series_matrix_table_end,ct
SRX197976,E64_25,GSM2253455,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: TE,embryo derived from: 64_2,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05449025,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979766,NONE,,GSM2253455,,E3.5-TE
SRX197976,E64_26,GSM2253456,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: TE,embryo derived from: 64_2,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05449024,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979767,NONE,,GSM2253456,,E3.5-TE
SRX197976,E64_27,GSM2253457,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: TE,embryo derived from: 64_2,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448850,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979768,NONE,,GSM2253457,,E3.5-TE
SRX197976,E64_33,GSM2253458,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: ICM,embryo derived from: 64_3,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448849,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979769,NONE,,GSM2253458,,E3.5-ICM
SRX197977,E64_34,GSM2253459,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: TE,embryo derived from: 64_3,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448848,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979770,NONE,,GSM2253459,,E3.5-TE
SRX197977,E64_35,GSM2253460,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: ICM,embryo derived from: 64_4,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448847,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979771,NONE,,GSM2253460,,E3.5-ICM
SRX197977,E64_36,GSM2253461,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: ICM,embryo derived from: 64_4,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448846,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979772,NONE,,GSM2253461,,E3.5-ICM
SRX197977,E64_38,GSM2253462,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: ICM,embryo derived from: 64_4,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448845,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979773,NONE,,GSM2253462,,E3.5-ICM
SRX197977,E64_4,GSM2253463,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: TE,embryo derived from: 64_1,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448844,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979774,NONE,,GSM2253463,,E3.5-TE
SRX197977,E64_42,GSM2253464,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: ICM,embryo derived from: 64_4,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448843,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979775,NONE,,GSM2253464,,E3.5-ICM
SRX197977,E64_43,GSM2253465,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: TE,embryo derived from: 64_4,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448842,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979776,NONE,,GSM2253465,,E3.5-TE
SRX197977,E64_44,GSM2253466,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: TE,embryo derived from: 64_4,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448841,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979777,NONE,,GSM2253466,,E3.5-TE
SRX197977,E64_5,GSM2253467,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: TE,embryo derived from: 64_1,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448840,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979778,NONE,,GSM2253467,,E3.5-TE
SRX197977,E64_51,GSM2253468,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: 64 cell,strain: CD1,lineage: ICM,embryo derived from: 64_4,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448839,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979779,NONE,,GSM2253468,,E3.5-ICM
