SRX,index,!Sample_geo_accession,!Sample_status,!Sample_submission_date,!Sample_last_update_date,!Sample_type,!Sample_channel_count,!Sample_source_name_ch1,!Sample_organism_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_growth_protocol_ch1,!Sample_molecule_ch1,!Sample_extract_protocol_ch1,!Sample_extract_protocol_ch1,!Sample_taxid_ch1,!Sample_description,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_platform_id,!Sample_contact_name,!Sample_contact_email,!Sample_contact_laboratory,!Sample_contact_department,!Sample_contact_institute,!Sample_contact_address,!Sample_contact_city,!Sample_contact_zip/postal_code,!Sample_contact_country,!Sample_data_row_count,!Sample_instrument_model,!Sample_library_selection,!Sample_library_source,!Sample_library_strategy,!Sample_relation,!Sample_relation,!Sample_supplementary_file_1,!series_matrix_table_begin,ID_REF,!series_matrix_table_end,ct
SRX135533,lateblast_3-15_708_504,GSM1912394,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194954,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355332,NONE,,GSM1912394,,E3.5-ICM
SRX135533,lateblast_3-1_702_503,GSM1912395,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194955,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355333,NONE,,GSM1912395,,E3.5-ICM
SRX135533,lateblast_3-5_706_503,GSM1912396,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194956,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355334,NONE,,GSM1912396,,E3.5-ICM
SRX135533,lateblast_3-6_707_503,GSM1912397,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194957,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355335,NONE,,GSM1912397,,E3.5-ICM
SRX135533,lateblast_4-10_702_506,GSM1912398,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194958,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355336,NONE,,GSM1912398,,E3.5-ICM
SRX135533,lateblast_4-11_703_506,GSM1912399,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194959,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355337,NONE,,GSM1912399,,E3.5-ICM
SRX135533,lateblast_4-2_702_505,GSM1912400,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194960,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355338,NONE,,GSM1912400,,E3.5-ICM
SRX135533,lateblast_4-8_708_505,GSM1912401,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194961,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355339,NONE,,GSM1912401,,E3.5-ICM
SRX135534,lateblast_5-2_705_506,GSM1912402,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194962,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355340,NONE,,GSM1912402,,E3.5-ICM
SRX135534,lateblast_5-3_706_506,GSM1912403,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194963,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355341,NONE,,GSM1912403,,E3.5-ICM
SRX135534,lateblast_5-4_707_506,GSM1912404,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194964,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355342,NONE,,GSM1912404,,E3.5-ICM
SRX135534,lateblast_5-6_701_507,GSM1912405,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194965,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355343,NONE,,GSM1912405,,E3.5-ICM
SRX135534,lateblast_5-7_702_507,GSM1912406,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194966,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355344,NONE,,GSM1912406,,E3.5-ICM
SRX135534,lateblast_5_2,GSM1912407,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E4.5 Epiblast,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194967,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355345,NONE,,GSM1912407,,E4.5-EPI
SRX135534,lateblast_5_3,GSM1912408,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E4.5 Epiblast,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194968,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355346,NONE,,GSM1912408,,E4.5-EPI
SRX135534,lateblast_6_10,GSM1912409,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E4.5 Epiblast,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194969,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355347,NONE,,GSM1912409,,E4.5-EPI
SRX135534,lateblast_6_8,GSM1912410,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E4.5 Epiblast,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194970,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355348,NONE,,GSM1912410,,E4.5-EPI
SRX135534,lateblast_7_2,GSM1912411,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E4.5 Epiblast,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194971,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355349,NONE,,GSM1912411,,E4.5-EPI
SRX135535,lateblast_7_3,GSM1912412,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E4.5 Epiblast,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194972,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355350,NONE,,GSM1912412,,E4.5-EPI
