Comment[ENA_RUN],Source Name,Comment[ENA_SAMPLE],Characteristics[organism],Characteristics[strain],Characteristics[developmental stage],Characteristics[organism part],Characteristics[cell type],Characteristics[division pattern],Characteristics[single cell well quality],Characteristics[batch],Material Type,Protocol REF,Protocol REF.1,Protocol REF.2,Extract Name,Material Type.1,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[NOMINAL_LENGTH],Comment[NOMINAL_SDEV],Comment[single cell isolation],Comment[library construction],Comment[end bias],Comment[input molecule],Comment[primer],Comment[spike in],Comment[spike in dilution],Comment[spike sequence file],Comment[spike concentration file],Protocol REF.3,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[FASTQ_URI],Comment[SPOT_LENGTH],Comment[READ_INDEX_1_BASE_COORD],Derived Array Data File,Comment [Derived ArrayExpress FTP file],Factor Value[developmental stage],Factor Value[division pattern],Factor Value[single cell identifier],ct
ERR1229137,2cell_3_B,ERS1043828,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_3_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample61_,sequencing assay,ERX1301189,Goolam_et_al_2015_Batch1_Sample61_1.fq.gz,Goolam_et_al_2015_Batch1_Sample61_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/007/ERR1229137/ERR1229137_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_3_B,2C
ERR1229137,2cell_3_B,ERS1043828,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_3_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample61_,sequencing assay,ERX1301189,Goolam_et_al_2015_Batch1_Sample61_2.fq.gz,Goolam_et_al_2015_Batch1_Sample61_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/007/ERR1229137/ERR1229137_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_3_B,2C
ERR1231438,2cell_4_A,ERS1046970,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_4_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample50_,sequencing assay,ERX1303377,Goolam_et_al_2015_Batch3_Sample50_1.fq.gz,Goolam_et_al_2015_Batch3_Sample50_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/008/ERR1231438/ERR1231438_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_4_A,2C
ERR1231438,2cell_4_A,ERS1046970,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_4_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample50_,sequencing assay,ERX1303377,Goolam_et_al_2015_Batch3_Sample50_2.fq.gz,Goolam_et_al_2015_Batch3_Sample50_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/008/ERR1231438/ERR1231438_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_4_A,2C
ERR1231439,2cell_4_B,ERS1046971,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_4_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample62_,sequencing assay,ERX1303378,Goolam_et_al_2015_Batch3_Sample62_1.fq.gz,Goolam_et_al_2015_Batch3_Sample62_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/009/ERR1231439/ERR1231439_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_4_B,2C
ERR1231439,2cell_4_B,ERS1046971,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_4_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample62_,sequencing assay,ERX1303378,Goolam_et_al_2015_Batch3_Sample62_2.fq.gz,Goolam_et_al_2015_Batch3_Sample62_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/009/ERR1231439/ERR1231439_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_4_B,2C
ERR1231440,2cell_5_A,ERS1046972,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_5_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample74_,sequencing assay,ERX1303379,Goolam_et_al_2015_Batch3_Sample74_1.fq.gz,Goolam_et_al_2015_Batch3_Sample74_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/000/ERR1231440/ERR1231440_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_5_A,2C
ERR1231440,2cell_5_A,ERS1046972,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_5_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample74_,sequencing assay,ERX1303379,Goolam_et_al_2015_Batch3_Sample74_2.fq.gz,Goolam_et_al_2015_Batch3_Sample74_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/000/ERR1231440/ERR1231440_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_5_A,2C
ERR1231441,2cell_5_B,ERS1046973,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_5_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample86_,sequencing assay,ERX1303380,Goolam_et_al_2015_Batch3_Sample86_1.fq.gz,Goolam_et_al_2015_Batch3_Sample86_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/001/ERR1231441/ERR1231441_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_5_B,2C
ERR1231441,2cell_5_B,ERS1046973,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_5_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample86_,sequencing assay,ERX1303380,Goolam_et_al_2015_Batch3_Sample86_2.fq.gz,Goolam_et_al_2015_Batch3_Sample86_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/001/ERR1231441/ERR1231441_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_5_B,2C
ERR1231442,2cell_6_A,ERS1046974,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_6_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample3_,sequencing assay,ERX1303381,Goolam_et_al_2015_Batch3_Sample3_1.fq.gz,Goolam_et_al_2015_Batch3_Sample3_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/002/ERR1231442/ERR1231442_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_6_A,2C
ERR1231442,2cell_6_A,ERS1046974,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_6_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample3_,sequencing assay,ERX1303381,Goolam_et_al_2015_Batch3_Sample3_2.fq.gz,Goolam_et_al_2015_Batch3_Sample3_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/002/ERR1231442/ERR1231442_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_6_A,2C
ERR1231443,2cell_6_B,ERS1046975,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_6_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample15_,sequencing assay,ERX1303382,Goolam_et_al_2015_Batch3_Sample15_1.fq.gz,Goolam_et_al_2015_Batch3_Sample15_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/003/ERR1231443/ERR1231443_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_6_B,2C
ERR1231443,2cell_6_B,ERS1046975,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,3,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_6_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:1000000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch3_Sample15_,sequencing assay,ERX1303382,Goolam_et_al_2015_Batch3_Sample15_2.fq.gz,Goolam_et_al_2015_Batch3_Sample15_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/003/ERR1231443/ERR1231443_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_6_B,2C
